"ReportingOrgName","SourceOrganization","TransactionProviderName","RecipientOrgName","DestinationOrganization"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","BI Bakery Nigeria Limited","BI Bakery Nigeria Limited"
"Department for International Development","Netherlands, Government of","Department for International Development","BI Bakery Nigeria Limited","BI Bakery Nigeria Limited"
"Department for International Development","Netherlands, Government of","Department for International Development","VSO Ethiopia
","VSO Ethiopia
"
"Department for International Development","Netherlands, Government of","Department for International Development","HSBC Credit Cards","HSBC Credit Cards"
"Department for International Development","Netherlands, Government of","Department for International Development","Arex Company","Arex Company"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Otaku.Hugo Company Ltd","Otaku.Hugo Company Ltd"
"Department for International Development","Netherlands, Government of","Department for International Development","Otaku.Hugo Company Ltd","Otaku.Hugo Company Ltd"
"Department for International Development","Netherlands, Government of","Department for International Development","Radboud Centrum Sociale W","Radboud Centrum Sociale W"
"Department for International Development","Netherlands, Government of","Department for International Development","Balloon Ventures Ltd



","Balloon Ventures Ltd



"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Digital Marketing Skills","Digital Marketing Skills"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Jinni A.M","Jinni A.M"
"Department for International Development","Netherlands, Government of","Department for International Development","INTELCIA MAROC","INTELCIA MAROC"
"Department for International Development","Netherlands, Government of","Department for International Development","ProPortion Enterprise BV","ProPortion Enterprise BV"
"Department for International Development","Netherlands, Government of","Department for International Development","R2S Logistics
","R2S Logistics
"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Niokobok SARL","Niokobok SARL"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Serafin Campestrini GmbH","Serafin Campestrini GmbH"
"Department for International Development","Netherlands, Government of","Department for International Development","Shujaazinc LTD



","Shujaazinc LTD



"
"Department for International Development","Netherlands, Government of","Department for International Development","Innovectives Limited-new","Innovectives Limited-new"
"Department for International Development","Netherlands, Government of","Department for International Development","Fair Agro-FOGA Gum

","Fair Agro-FOGA Gum

"
"Department for International Development","Netherlands, Government of","Department for International Development","Pad-Up Creations 


","Pad-Up Creations 


"
"Department for International Development","Netherlands, Government of","Department for International Development","Salalem-Darajat Lil Tadre","Salalem-Darajat Lil Tadre"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Najeeb Dawabeh and Partne","Najeeb Dawabeh and Partne"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Waste Electrical And Elec","Waste Electrical And Elec"
"Department for International Development","Netherlands, Government of","Department for International Development","Waste Electrical And Elec","Waste Electrical And Elec"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Mercy Corps Europe","Mercy Corps Europe"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","CHERUBET COMPANY LTD","CHERUBET COMPANY LTD"
"Department for International Development","Netherlands, Government of","Department for International Development","Jinni  A.M


","Jinni  A.M


"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","SHORTLIST PROFESSIONAL","SHORTLIST PROFESSIONAL"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","WIC Capital","WIC Capital"
"Department for International Development","Netherlands, Government of","Department for International Development","Bio Cannat","Bio Cannat"
"Department for International Development","Netherlands, Government of","Department for International Development","Startups for Advanced Bus","Startups for Advanced Bus"
"Peace Corps","United States of America, Government of",NA,"",""
"UK - Foreign, Commonwealth Development Office (FCDO)","United Kingdom, Government of","FCDO","BDOM","BDOM"
"UK - Foreign, Commonwealth Development Office (FCDO)","United Kingdom, Government of","FCDO","CDJP Bukavu","CDJP Bukavu"
"UK - Foreign, Commonwealth Development Office (FCDO)","United Kingdom, Government of","FCDO","AJV","AJV"
"UK - Foreign, Commonwealth Development Office (FCDO)","United Kingdom, Government of","FCDO","Centre Olame Bukavu","Centre Olame Bukavu"
"UK - Foreign, Commonwealth Development Office (FCDO)","United Kingdom, Government of","FCDO","Commission Diocesaine Justice aux Paix de Bukavu","Commission Diocesaine Justice aux Paix de Bukavu"
"UK - Foreign, Commonwealth Development Office (FCDO)","United Kingdom, Government of","FCDO","Sudan Evangelical Mission","Sudan Evangelical Mission"
"Swiss Agency for Development and Cooperation (SDC)","Switzerland, Government of",NA,"",""
"Netherlands Enterprise Agency","Netherlands, Government of",NA,"Stichting Novel-T","Stichting Novel-T"
"Netherlands Enterprise Agency","Netherlands, Government of",NA,"CSR Ukraine","CSR Ukraine"
"Netherlands Enterprise Agency","Netherlands, Government of",NA,"",""
"Netherlands Enterprise Agency","Netherlands, Government of",NA,"I4 Policy","I4 Policy"
"Netherlands Enterprise Agency","Netherlands, Government of",NA,"United Capital Bank","United Capital Bank"
"Netherlands Enterprise Agency","Netherlands, Government of",NA,"Netherlands embassy in Abuja, Nigeria","Netherlands embassy in Abuja, Nigeria"
"Netherlands Enterprise Agency","Netherlands, Government of",NA,"Rijksdienst voor Ondernemend Nederland","Rijksdienst voor Ondernemend Nederland"
"Netherlands Enterprise Agency","Netherlands, Government of",NA,"Youth Business International","Youth Business International"
"Australia Aid","Australia, Government of",NA,"",""
"Directorate-general Development Cooperation and Humanitarian Aid, FR: Direction-Générale Coopération au Développement et Aide humanitaire","Belgium, Government of",NA,"The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA)","United Nations Relief and Works Agency for Palestine Refugees in the Near East"
"Directorate-general Development Cooperation and Humanitarian Aid, FR: Direction-Générale Coopération au Développement et Aide humanitaire","Belgium, Government of",NA,"",""
"Sweden","Sweden, Government of",NA,"",""
"DEPARTMENT FOR BUSINESS, ENERGY & INDUSTRIAL STRATEGY","United Kingdom, Government of",NA,"",""
"AFD","France, Government of",NA,"",""
"Department of State","United States of America, Government of",NA,"Enterprise - Non United States Redacted","Enterprise - Non United States Redacted"
"Ministry of Foreign and European Affairs of the Slovak Republic, SK: Ministerstvo zahraničných vecí a európskych záležitostí SR","Slovakia, Government of",NA,"UNICEF Contribution 2022","UNICEF Contribution 2022"
"Ministry of Foreign and European Affairs of the Slovak Republic, SK: Ministerstvo zahraničných vecí a európskych záležitostí SR","Slovakia, Government of",NA,"individual students","individual students"
"Ministry of Foreign and European Affairs of the Slovak Republic, SK: Ministerstvo zahraničných vecí a európskych záležitostí SR","Slovakia, Government of",NA,"individial students","individial students"
"Ministry of Foreign and European Affairs of the Slovak Republic, SK: Ministerstvo zahraničných vecí a európskych záležitostí SR","Slovakia, Government of",NA,"Dovhe Gymnasium of the Dovhe Village Council","Dovhe Gymnasium of the Dovhe Village Council"
"Ministry of Foreign and European Affairs of the Slovak Republic, SK: Ministerstvo zahraničných vecí a európskych záležitostí SR","Slovakia, Government of",NA,"Losynivka Village Council","Losynivka Village Council"
"Ministry of Foreign and European Affairs of the Slovak Republic, SK: Ministerstvo zahraničných vecí a európskych záležitostí SR","Slovakia, Government of",NA,"Faculty of International Economic Relations, Uzhhorod National University","Faculty of International Economic Relations, Uzhhorod National University"
"Ministry of Foreign and European Affairs of the Slovak Republic, SK: Ministerstvo zahraničných vecí a európskych záležitostí SR","Slovakia, Government of",NA,"Shola Gebeya Primary School","Shola Gebeya Primary School"
"Ministry of Foreign and European Affairs of the Slovak Republic, SK: Ministerstvo zahraničných vecí a európskych záležitostí SR","Slovakia, Government of",NA,"Mukachevo Comprehensive School No 13","Mukachevo Comprehensive School No 13"
"Ministry of Foreign and European Affairs of the Slovak Republic, SK: Ministerstvo zahraničných vecí a európskych záležitostí SR","Slovakia, Government of",NA," MEHHRO"," MEHHRO"
"Ministry of Foreign and European Affairs of the Slovak Republic, SK: Ministerstvo zahraničných vecí a európskych záležitostí SR","Slovakia, Government of",NA,"Children – Victims of the war	 ","Children – Victims of the war	 "
"Ministry of Foreign and European Affairs of the Slovak Republic, SK: Ministerstvo zahraničných vecí a európskych záležitostí SR","Slovakia, Government of",NA,"National University of Kyiv-Mohyla Academy","National University of Kyiv-Mohyla Academy"
"Ministry of Foreign and European Affairs of the Slovak Republic, SK: Ministerstvo zahraničných vecí a európskych záležitostí SR","Slovakia, Government of",NA,"Nizhneselychensky Lyceum of Khust city council","Nizhneselychensky Lyceum of Khust city council"
"Ministry of Foreign and European Affairs of the Slovak Republic, SK: Ministerstvo zahraničných vecí a európskych záležitostí SR","Slovakia, Government of",NA,"We are Hope","We are Hope"
"Ministry of Foreign and European Affairs of the Slovak Republic, SK: Ministerstvo zahraničných vecí a európskych záležitostí SR","Slovakia, Government of",NA,"Somali Women Journalist´s Rights Association","Somali Women Journalist´s Rights Association"
"Department of State","United States of America, Government of",NA,"",""
"Netherlands - Ministry of Foreign Affairs","Netherlands, Government of","The Embassy of the Kingdom of the Netherlands","Swisscontact","Swisscontact"
"United Nations High Commissioner for Refugees (UNHCR)","United Nations High Commissioner for Refugees",NA,"International NGO","International NGO"
"United Nations High Commissioner for Refugees (UNHCR)","United Nations High Commissioner for Refugees",NA,"",""
"UNICEF","United Nations Children's Fund",NA,"AFGHAN YOUTH EDUCATION AND HEALTH ORGANIZATION","AFGHAN YOUTH EDUCATION AND HEALTH ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"AFGHAN AMPUTEE BICYCLISTS FOR REHABILITATION AND RECREATION","AFGHAN AMPUTEE BICYCLISTS FOR REHABILITATION AND RECREATION"
"UNICEF","United Nations Children's Fund",NA,"IP not published","IP not published"
"UNICEF","United Nations Children's Fund",NA,"LOY KANDAHAR RECONSTRUCTION ORGANIZATION","LOY KANDAHAR RECONSTRUCTION ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"HELP HUMANITY ORGANIZATION OF AFGHANISTAN","HELP HUMANITY ORGANIZATION OF AFGHANISTAN"
"UNICEF","United Nations Children's Fund",NA,"MOVE AGAINST POVERTY OF WOMEN ORGANIZATION","MOVE AGAINST POVERTY OF WOMEN ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"SOCIAL ASSOCIATION FOR DEVELOPMENT OF AFGHANISTAN","SOCIAL ASSOCIATION FOR DEVELOPMENT OF AFGHANISTAN"
"UNICEF","United Nations Children's Fund",NA,"AFGHANISTAN RESEARCH DEVELOPMENT AND HEALTH ORGANIZATION","AFGHANISTAN RESEARCH DEVELOPMENT AND HEALTH ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"AFGHANISTAN SOCIAL AND LEGAL ORGANIZATION","AFGHANISTAN SOCIAL AND LEGAL ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"AFGHAN PEACE BUILDERS HUMANITARIAN ORGANIZATION","AFGHAN PEACE BUILDERS HUMANITARIAN ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"WOMEN AND YOUTH FUTURE ASSIST ORGANIZATION","WOMEN AND YOUTH FUTURE ASSIST ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"SHANTI VOLUNTEER ASSOCIATION","SHANTI VOLUNTEER ASSOCIATION"
"UNICEF","United Nations Children's Fund",NA,"SWEDISH COMMITTEE FOR AFGHANISTAN","SWEDISH COMMITTEE FOR AFGHANISTAN"
"UNICEF","United Nations Children's Fund",NA,"THE LIAISON OFFICE","THE LIAISON OFFICE"
"UNICEF","United Nations Children's Fund",NA,"JUSTICE FOR EQUALITY IN AFGHANISTAN ORGANIZATION","JUSTICE FOR EQUALITY IN AFGHANISTAN ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"RAH E RAHNAWARD SOCIAL WELFARE ORGANIZATION","RAH E RAHNAWARD SOCIAL WELFARE ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"AFGHAN DEVELOPMENT ASSOCIATION ADA","AFGHAN DEVELOPMENT ASSOCIATION ADA"
"UNICEF","United Nations Children's Fund",NA,"",""
"UNICEF","United Nations Children's Fund",NA,"VISION DEVELOPMENT ORGANIZATION","VISION DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"CARE AFGANISTAN","CARE AFGANISTAN"
"UNICEF","United Nations Children's Fund",NA,"DIRECTORATE OF PRIMARY EDUCATION INFORMATION MANAGEMENT DIVISION","DIRECTORATE OF PRIMARY EDUCATION INFORMATION MANAGEMENT DIVISION"
"UNICEF","United Nations Children's Fund",NA,"GAZIPUR CITY CORPORATION","GAZIPUR CITY CORPORATION"
"UNICEF","United Nations Children's Fund",NA,"JAAGO FOUNDATION TRUST","JAAGO FOUNDATION TRUST"
"UNICEF","United Nations Children's Fund",NA,"CHITTAGONG HILL TRACTS DEVELOPMENT BOARD SSS","CHITTAGONG HILL TRACTS DEVELOPMENT BOARD SSS"
"UNICEF","United Nations Children's Fund",NA,"DHAKA NORTH CITY CORPORATION","DHAKA NORTH CITY CORPORATION"
"UNICEF","United Nations Children's Fund",NA,"INTEGRATED MANAGEMENT OF CHILDHOOD ILLNESS IMCI","INTEGRATED MANAGEMENT OF CHILDHOOD ILLNESS IMCI"
"UNICEF","United Nations Children's Fund",NA,"LINE DIRECTOR MNC AND AH","LINE DIRECTOR MNC AND AH"
"UNICEF","United Nations Children's Fund",NA,"BSMMU DEPARTMENT OF PUBLIC HEALTH AND INFORMATICS","BSMMU DEPARTMENT OF PUBLIC HEALTH AND INFORMATICS"
"UNICEF","United Nations Children's Fund",NA,"HEALTH ECONOMICS UNIT QUALITY IMPROVEMENT SECRETARIAT","HEALTH ECONOMICS UNIT QUALITY IMPROVEMENT SECRETARIAT"
"UNICEF","United Nations Children's Fund",NA,"DGHS HOSPITAL SERVICES MANAGEMENT","DGHS HOSPITAL SERVICES MANAGEMENT"
"UNICEF","United Nations Children's Fund",NA,"BSMMU DEPT OF NEONATOLOGY","BSMMU DEPT OF NEONATOLOGY"
"UNICEF","United Nations Children's Fund",NA,"DGHS UPAZILA HEALTH CARE","DGHS UPAZILA HEALTH CARE"
"UNICEF","United Nations Children's Fund",NA,"DIRECTOR MCH SERVICES","DIRECTOR MCH SERVICES"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON DHAKA","CIVIL SURGEON DHAKA"
"UNICEF","United Nations Children's Fund",NA,"ICDDR B","ICDDR B"
"UNICEF","United Nations Children's Fund",NA,"LINE DIRECTOR MNC AND AH A AND SH UNICEF","LINE DIRECTOR MNC AND AH A AND SH UNICEF"
"UNICEF","United Nations Children's Fund",NA,"LINE DIRECTOR MNC AH EPI DGHS MOHAKHALI DHAKA","LINE DIRECTOR MNC AH EPI DGHS MOHAKHALI DHAKA"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURJON BARISAL","CIVIL SURJON BARISAL"
"UNICEF","United Nations Children's Fund",NA,"LINE DIRECTOR PLANNING MONITORING AND RESEARCH HEALTH","LINE DIRECTOR PLANNING MONITORING AND RESEARCH HEALTH"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON KISHOREGANJ","CIVIL SURGEON KISHOREGANJ"
"UNICEF","United Nations Children's Fund",NA,"LINE DIRECTOR NCDC DGHS","LINE DIRECTOR NCDC DGHS"
"UNICEF","United Nations Children's Fund",NA,"DIRECTOR AND LINE DIRECTOR MIS DGHS DGHS","DIRECTOR AND LINE DIRECTOR MIS DGHS DGHS"
"UNICEF","United Nations Children's Fund",NA,"INSTITUTE OF HEALTH ECONOMICS","INSTITUTE OF HEALTH ECONOMICS"
"UNICEF","United Nations Children's Fund",NA,"DGHS COVID 19 ERPP PROJECT","DGHS COVID 19 ERPP PROJECT"
"UNICEF","United Nations Children's Fund",NA,"OBSTETRICAL AND GYNAECOLOGICAL SOCIETY OF BANGLADESH","OBSTETRICAL AND GYNAECOLOGICAL SOCIETY OF BANGLADESH"
"UNICEF","United Nations Children's Fund",NA,"NEMEMW AND TC NATIONAL ELECTRO MEDICAL EQUIPMENT MAINTENANCE WORKSHOP AND","NEMEMW AND TC NATIONAL ELECTRO MEDICAL EQUIPMENT MAINTENANCE WORKSHOP AND"
"UNICEF","United Nations Children's Fund",NA,"DISEASE CONTROL DIVISION DGHS MOHFW","DISEASE CONTROL DIVISION DGHS MOHFW"
"UNICEF","United Nations Children's Fund",NA,"INSTITUTE OF CHILD AND MOTHER HEALTH ICMH","INSTITUTE OF CHILD AND MOTHER HEALTH ICMH"
"UNICEF","United Nations Children's Fund",NA,"NATIONAL INSTITUTE OF PREVENTIVE AND SOCIAL MEDICINE","NATIONAL INSTITUTE OF PREVENTIVE AND SOCIAL MEDICINE"
"UNICEF","United Nations Children's Fund",NA,"DIRECTORATE OF PRIMARY EDUCATION POLICY OPERATIONS","DIRECTORATE OF PRIMARY EDUCATION POLICY OPERATIONS"
"UNICEF","United Nations Children's Fund",NA,"DIRECTOR INSTITUTE OF EPIDEMIOLOGY DISEASE CONTROL AND RESEARCH","DIRECTOR INSTITUTE OF EPIDEMIOLOGY DISEASE CONTROL AND RESEARCH"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON CHAPAINAWABGANJ","CIVIL SURGEON CHAPAINAWABGANJ"
"UNICEF","United Nations Children's Fund",NA,"SYLHET CITY CORPORATION","SYLHET CITY CORPORATION"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON GAIBANDHA","CIVIL SURGEON GAIBANDHA"
"UNICEF","United Nations Children's Fund",NA,"BANGLADESH GARMENT MANUFACTURERS AND EXPORTERS ASSOCIATION","BANGLADESH GARMENT MANUFACTURERS AND EXPORTERS ASSOCIATION"
"UNICEF","United Nations Children's Fund",NA,"DEPARTMENT OF INSPECTION FOR FACTORIES AND ESTABLISHMENTS DIFE","DEPARTMENT OF INSPECTION FOR FACTORIES AND ESTABLISHMENTS DIFE"
"UNICEF","United Nations Children's Fund",NA,"DIRECTOR HEALTH RANGPUR DIVISION RANGPUR","DIRECTOR HEALTH RANGPUR DIVISION RANGPUR"
"UNICEF","United Nations Children's Fund",NA,"NATIONAL NUTRITION SERVICES NNS","NATIONAL NUTRITION SERVICES NNS"
"UNICEF","United Nations Children's Fund",NA,"DIRECTOR HEALTH KHULNA DIVISION KHULNA","DIRECTOR HEALTH KHULNA DIVISION KHULNA"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON SATKHIRA SEVIL SERJEN","CIVIL SURGEON SATKHIRA SEVIL SERJEN"
"UNICEF","United Nations Children's Fund",NA,"DIRECTORATE OF SECONDARY HIGHER EDUCATION","DIRECTORATE OF SECONDARY HIGHER EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SERGOEN GAZIPUR","CIVIL SERGOEN GAZIPUR"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON PATUAKHALI","CIVIL SURGEON PATUAKHALI"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON SHERPUR","CIVIL SURGEON SHERPUR"
"UNICEF","United Nations Children's Fund",NA,"DIRECTOR HEALTH SYLHET DIVISION SYLHET","DIRECTOR HEALTH SYLHET DIVISION SYLHET"
"UNICEF","United Nations Children's Fund",NA,"DIRECTOR HEALTH BARISAL DIVISION","DIRECTOR HEALTH BARISAL DIVISION"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON KHAGRACHARI","CIVIL SURGEON KHAGRACHARI"
"UNICEF","United Nations Children's Fund",NA,"DIRECTOR HEALTH RAJSHAHI DIVISION","DIRECTOR HEALTH RAJSHAHI DIVISION"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON CHITTAGONG","CIVIL SURGEON CHITTAGONG"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON BAGERHAT","CIVIL SURGEON BAGERHAT"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON OFFICE NOAKHALI","CIVIL SURGEON OFFICE NOAKHALI"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON HABIGANJ","CIVIL SURGEON HABIGANJ"
"UNICEF","United Nations Children's Fund",NA,"DIRECTORATE OF SECONDARY AND HIGHER EDUCATION MONITORING AND EVALUATION","DIRECTORATE OF SECONDARY AND HIGHER EDUCATION MONITORING AND EVALUATION"
"UNICEF","United Nations Children's Fund",NA,"BRAC BANGLADESH RURAL ADVANCEMENT COMMITTEE","BRAC BANGLADESH RURAL ADVANCEMENT COMMITTEE"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON SIRAJGONJ","CIVIL SURGEON SIRAJGONJ"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON NETROKONA","CIVIL SURGEON NETROKONA"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON BHOLA","CIVIL SURGEON BHOLA"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON KURIGRAM","CIVIL SURGEON KURIGRAM"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON NILPHAMARI","CIVIL SURGEON NILPHAMARI"
"UNICEF","United Nations Children's Fund",NA,"SHAHEED AHSAN ULLAH MASTER GENERAL HOSPITAL TONGI GAZIPUR","SHAHEED AHSAN ULLAH MASTER GENERAL HOSPITAL TONGI GAZIPUR"
"UNICEF","United Nations Children's Fund",NA,"DIRECTOR HEALTH CHITTAGONG DIVISION","DIRECTOR HEALTH CHITTAGONG DIVISION"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON JAMALPUR","CIVIL SURGEON JAMALPUR"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON BANDARBAN","CIVIL SURGEON BANDARBAN"
"UNICEF","United Nations Children's Fund",NA,"BANGLADESH KNITWEAR MANUFACTURERS AND EXPORTERS ASSOC","BANGLADESH KNITWEAR MANUFACTURERS AND EXPORTERS ASSOC"
"UNICEF","United Nations Children's Fund",NA,"DIVISIONAL COMMISSIONER BARISAL","DIVISIONAL COMMISSIONER BARISAL"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON COX S BAZAR","CIVIL SURGEON COX S BAZAR"
"UNICEF","United Nations Children's Fund",NA,"INSTITUTE OF PUBLIC HEALTH NUTRITION","INSTITUTE OF PUBLIC HEALTH NUTRITION"
"UNICEF","United Nations Children's Fund",NA,"DIRECTOR HEALTH MYMENSINGH","DIRECTOR HEALTH MYMENSINGH"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SURGEON RANGAMATI","CIVIL SURGEON RANGAMATI"
"UNICEF","United Nations Children's Fund",NA,"BANGLADESH SHISHU ACADEMY","BANGLADESH SHISHU ACADEMY"
"UNICEF","United Nations Children's Fund",NA,"JAGORANI CHAKRA FOUNDATION","JAGORANI CHAKRA FOUNDATION"
"UNICEF","United Nations Children's Fund",NA,"PLAN INTERNATIONAL BANGLADESH","PLAN INTERNATIONAL BANGLADESH"
"UNICEF","United Nations Children's Fund",NA,"FRIENDSHIP","FRIENDSHIP"
"UNICEF","United Nations Children's Fund",NA,"DIRECTORATE OF PRIMARY EDUCATION TRAINING","DIRECTORATE OF PRIMARY EDUCATION TRAINING"
"UNICEF","United Nations Children's Fund",NA,"SAMAJ KALYAN O UNNAYAN SHANGSTHA SKUS","SAMAJ KALYAN O UNNAYAN SHANGSTHA SKUS"
"UNICEF","United Nations Children's Fund",NA,"COAST FOUNDATION","COAST FOUNDATION"
"UNICEF","United Nations Children's Fund",NA,"MUKTI COXS BAZAR","MUKTI COXS BAZAR"
"UNICEF","United Nations Children's Fund",NA,"COMMUNITY DEVELOPMENT CENTRE CODEC","COMMUNITY DEVELOPMENT CENTRE CODEC"
"UNICEF","United Nations Children's Fund",NA,"DIRECTORATE OF PRIMARY EDUCATION PLANNING AND DEVELOPMENT","DIRECTORATE OF PRIMARY EDUCATION PLANNING AND DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"HANDICAP INTERNATIONAL FEDERATION","HANDICAP INTERNATIONAL FEDERATION"
"UNICEF","United Nations Children's Fund",NA,"DIRECTORATE OF PRIMARY EDUCATION MONITORING AND EVALUATION DIVISION","DIRECTORATE OF PRIMARY EDUCATION MONITORING AND EVALUATION DIVISION"
"UNICEF","United Nations Children's Fund",NA,"VILLAGE EDUCATION RESOURCE CENTRE","VILLAGE EDUCATION RESOURCE CENTRE"
"UNICEF","United Nations Children's Fund",NA,"FRIENDS IN VILLAGE DEVELOPMENT BANGLADESH FIVBD","FRIENDS IN VILLAGE DEVELOPMENT BANGLADESH FIVBD"
"UNICEF","United Nations Children's Fund",NA,"BUREAU OF NON FORMAL EDUCATION BNFE","BUREAU OF NON FORMAL EDUCATION BNFE"
"UNICEF","United Nations Children's Fund",NA,"SUROVI","SUROVI"
"UNICEF","United Nations Children's Fund",NA,"CARITAS BANGLADESH","CARITAS BANGLADESH"
"UNICEF","United Nations Children's Fund",NA,"BASTOB INITIATIVE FOR PEOPLES SELF DEVELOPMENT","BASTOB INITIATIVE FOR PEOPLES SELF DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"GREEN HILL","GREEN HILL"
"UNICEF","United Nations Children's Fund",NA,"INTERNATIONAL RESCUE COMMITTEE","INTERNATIONAL RESCUE COMMITTEE"
"UNICEF","United Nations Children's Fund",NA,"SAVE THE CHILDREN INTERNATIONAL","SAVE THE CHILDREN INTERNATIONAL"
"UNICEF","United Nations Children's Fund",NA,"NATIONAL ACADEMY FOR EDUCATIONAL MANAGEMENT NAEM","NATIONAL ACADEMY FOR EDUCATIONAL MANAGEMENT NAEM"
"UNICEF","United Nations Children's Fund",NA,"DIRECTORATE OF SECONDARY AND HIGHER EDUCATION PLANNING AND DEVELOPMENT WING","DIRECTORATE OF SECONDARY AND HIGHER EDUCATION PLANNING AND DEVELOPMENT WING"
"UNICEF","United Nations Children's Fund",NA,"BANGLADESH RED CRESCENT SOCIETY","BANGLADESH RED CRESCENT SOCIETY"
"UNICEF","United Nations Children's Fund",NA,"NATIONAL CURRICULUM AND TEXTBOOK BOARD","NATIONAL CURRICULUM AND TEXTBOOK BOARD"
"UNICEF","United Nations Children's Fund",NA,"ECO SOCIAL DEVELOPMENT ORGANIZATION","ECO SOCIAL DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"WORLD VISION BANGLADESH","WORLD VISION BANGLADESH"
"UNICEF","United Nations Children's Fund",NA,"AGAMI EDUCATION FOUNDATION","AGAMI EDUCATION FOUNDATION"
"UNICEF","United Nations Children's Fund",NA,"ICT DIVISION ASPIRE TO INNOVATE A2I PROGRAMME","ICT DIVISION ASPIRE TO INNOVATE A2I PROGRAMME"
"UNICEF","United Nations Children's Fund",NA,"PROGRAMME CLAC","PROGRAMME CLAC"
"UNICEF","United Nations Children's Fund",NA,"PROGRAMME NATIONAL DE LUTTE PALUDISME","PROGRAMME NATIONAL DE LUTTE PALUDISME"
"UNICEF","United Nations Children's Fund",NA,"DIRECTION DE SANTE DE REPRODUCTION","DIRECTION DE SANTE DE REPRODUCTION"
"UNICEF","United Nations Children's Fund",NA,"COORDINATION PREVENTION DE LA TRANSMISSION MERE ET ENFANT","COORDINATION PREVENTION DE LA TRANSMISSION MERE ET ENFANT"
"UNICEF","United Nations Children's Fund",NA,"BASE APPUI DSB ET HRA","BASE APPUI DSB ET HRA"
"UNICEF","United Nations Children's Fund",NA,"PROGRAMME SANTE NUTRITION C C","PROGRAMME SANTE NUTRITION C C"
"UNICEF","United Nations Children's Fund",NA,"DELEGATION SANITAIRE REGIONALE  DU BATHA","DELEGATION SANITAIRE REGIONALE  DU BATHA"
"UNICEF","United Nations Children's Fund",NA,"DELEGATION SANITAIRE REGIONAL DU KANEM","DELEGATION SANITAIRE REGIONAL DU KANEM"
"UNICEF","United Nations Children's Fund",NA,"DELEGATION SANITAIRE DU MAYO K EST","DELEGATION SANITAIRE DU MAYO K EST"
"UNICEF","United Nations Children's Fund",NA,"SOUS DIRECTION DE LA VACCINATION","SOUS DIRECTION DE LA VACCINATION"
